country	year	age	sex	prop_childless_att	prop_school
Armenia	2000	13	Female	0.572705168	0.980094606
Armenia	2000	14	Female	0.450653726	0.957921368
Armenia	2000	15	Female	0.903490085	0.908250479
Armenia	2000	16	Female	0.90010683	0.779749363
Armenia	2000	17	Female	0.883388723	0.439211087
Armenia	2000	18	Female	0.863324962	0.408110668
Armenia	2000	19	Female	0.855394071	0.342461737
Armenia	2000	20	Female	0.820160102	0.257970351
Armenia	2000	21	Female	0.751935314	0.160081946
Armenia	2000	22	Female	0.658292591	0.102117723
Armenia	2000	23	Female	0.869086427	0.051952682
Armenia	2000	24	Female	0.881925321	0.070608163
Armenia	2001	12	Female		0.986757106
Armenia	2001	13	Female		0.988412152
Armenia	2001	14	Female		0.970408786
Armenia	2001	15	Female	0.998081841	0.941034898
Armenia	2001	16	Female	0.997358491	0.775534094
Armenia	2001	17	Female	0.995475113	0.484194053
Armenia	2001	18	Female	0.993793103	0.464148528
Armenia	2001	19	Female	0.979658259	0.397734628
Armenia	2001	20	Female	0.952819333	0.290635452
Armenia	2001	21	Female	0.92202729	0.182044003
Armenia	2001	22	Female	0.872852234	0.107380074
Armenia	2001	23	Female	0.841772152	0.061598441
Armenia	2001	24	Female	0.777777778	0.044081633
Austria	1971	12	Female		0.999824284
Austria	1971	13	Female		0.999638336
Austria	1971	14	Female		
Austria	1971	15	Female		0.789123407
Austria	1971	16	Female		0.361389052
Austria	1971	17	Female		0.283918069
Austria	1971	18	Female		0.197280292
Austria	1971	19	Female		0.146171217
Austria	1971	20	Female		0.111045713
Austria	1971	21	Female		0.072337043
Austria	1971	22	Female		0.050306293
Austria	1971	23	Female		0.032568468
Austria	1971	24	Female		0.031526336
Austria	1981	12	Female		
Austria	1981	13	Female		
Austria	1981	14	Female		
Austria	1981	15	Female		0.807537446
Austria	1981	16	Female	0.998429648	0.489544895
Austria	1981	17	Female	0.997514499	0.376716604
Austria	1981	18	Female	0.992623815	0.284685766
Austria	1981	19	Female	0.990720914	0.218872051
Austria	1981	20	Female	0.979083665	0.159796276
Austria	1981	21	Female	0.962365591	0.119154388
Austria	1981	22	Female	0.947663551	0.090847343
Austria	1981	23	Female	0.931415929	0.077837093
Austria	1981	24	Female	0.886363636	0.061538462
Austria	1991	12	Female		
Austria	1991	13	Female		
Austria	1991	14	Female		
Austria	1991	15	Female	0.999205087	0.848852901
Austria	1991	16	Female	0.999627422	0.574978578
Austria	1991	17	Female	0.995185996	0.475546306
Austria	1991	18	Female	0.997901364	0.377201662
Austria	1991	19	Female	0.990654206	0.286045268
Austria	1991	20	Female	0.986277873	0.199384405
Austria	1991	21	Female	0.979846449	0.16847211
Austria	1991	22	Female	0.962962963	0.128275862
Austria	1991	23	Female	0.94952251	0.109288803
Austria	1991	24	Female	0.917460317	0.093195266
Austria	2001	12	Female		0.998913988
Austria	2001	13	Female		0.999337017
Austria	2001	14	Female		0.997155361
Austria	2001	15	Female		0.916060806
Austria	2001	16	Female	0.999388192	0.702406532
Austria	2001	17	Female	0.996585865	0.615853659
Austria	2001	18	Female	0.993655829	0.524106401
Austria	2001	19	Female	0.987215909	0.425549063
Austria	2001	20	Female	0.98597833	0.326670831
Austria	2001	21	Female	0.972477064	0.268052761
Austria	2001	22	Female	0.96641791	0.231084285
Austria	2001	23	Female	0.954189944	0.194480661
Austria	2001	24	Female	0.942359249	0.159061834
Bangladesh	1993	12	Female	0.270848106	0.681626196
Bangladesh	1993	13	Female	0.268305987	0.639665049
Bangladesh	1993	14	Female	0.535867868	0.506524909
Bangladesh	1993	15	Female	0.637717181	0.398218709
Bangladesh	1993	16	Female	0.626268814	0.365625867
Bangladesh	1993	17	Female	0.467040769	0.317836256
Bangladesh	1993	18	Female	0.79621576	0.26674679
Bangladesh	1993	19	Female	0.752042702	0.20589494
Bangladesh	1993	20	Female	0.309442343	0.192855254
Bangladesh	1993	21	Female	0.211876994	0.154732551
Bangladesh	1993	22	Female	0.581026838	0.143665339
Bangladesh	1993	23	Female	0.082453845	0.099368896
Bangladesh	1993	24	Female	0.585546139	0.083876058
Bangladesh	1996	12	Female	0.330903019	0.717443786
Bangladesh	1996	13	Female	0.428783214	0.681450465
Bangladesh	1996	14	Female	0.449672965	0.56669989
Bangladesh	1996	15	Female	0.422260993	0.464338651
Bangladesh	1996	16	Female	0.512853303	0.390523682
Bangladesh	1996	17	Female	0.676245831	0.359133247
Bangladesh	1996	18	Female	0.563069713	0.286247558
Bangladesh	1996	19	Female	0.688241987	0.265142355
Bangladesh	1996	20	Female	0.181822994	0.201053919
Bangladesh	1996	21	Female	0.182641515	0.170309555
Bangladesh	1996	22	Female	0.159417873	0.135640513
Bangladesh	1996	23	Female	0.321221512	0.122673071
Bangladesh	1996	24	Female	0.380112613	0.131006353
Bangladesh	1999	12	Female	0.524945834	0.743235147
Bangladesh	1999	13	Female	0.478100546	0.701734399
Bangladesh	1999	14	Female	0.676861587	0.593105942
Bangladesh	1999	15	Female	0.876629914	0.488969093
Bangladesh	1999	16	Female	0.804063825	0.435435896
Bangladesh	1999	17	Female	0.836571852	0.341824792
Bangladesh	1999	18	Female	0.865896112	0.310508224
Bangladesh	1999	19	Female	0.79437338	0.282407279
Bangladesh	1999	20	Female	0.651542713	0.221004194
Bangladesh	1999	21	Female	0.396770432	0.237464343
Bangladesh	1999	22	Female	0.239044003	0.160894041
Bangladesh	1999	23	Female	0.481854844	0.137627846
Bangladesh	1999	24	Female	0.287193823	0.150988039
Bangladesh	2004	12	Female		0.775533636
Bangladesh	2004	13	Female		0.696655485
Bangladesh	2004	14	Female		0.573330937
Bangladesh	2004	15	Female	0.694585363	0.46604706
Bangladesh	2004	16	Female		0.375054045
Bangladesh	2004	17	Female		0.294568863
Bangladesh	2004	18	Female		0.253309769
Bangladesh	2004	19	Female	0.650098782	0.20100086
Bangladesh	2004	20	Female	0.592117673	0.166193622
Bangladesh	2004	21	Female	0.473587959	0.126040719
Bangladesh	2004	22	Female	0.747269488	0.106627554
Bangladesh	2004	23	Female	0.690098794	0.117225926
Bangladesh	2004	24	Female	0.337719761	0.091977961
Bangladesh	2007	12	Female		0.840720369
Bangladesh	2007	13	Female		0.808370473
Bangladesh	2007	14	Female		0.673287941
Bangladesh	2007	15	Female		0.545263879
Bangladesh	2007	16	Female		0.446096507
Bangladesh	2007	17	Female		0.362697838
Bangladesh	2007	18	Female	0.83163593	0.253788725
Bangladesh	2007	19	Female	0.810085091	0.225576744
Bangladesh	2007	20	Female	0.620048525	0.157801336
Bangladesh	2007	21	Female	0.289954201	0.169782434
Bangladesh	2007	22	Female	0.451736394	0.141834856
Bangladesh	2007	23	Female	0.494990102	0.10915089
Bangladesh	2007	24	Female	0.369213656	0.112493155
Belarus	1999	12	Female		0.997470489
Belarus	1999	13	Female		0.996166687
Belarus	1999	14	Female		0.995319621
					
Belarus	1999	15	Female	0.999261629	0.979390141
					
Belarus	1999	16	Female	0.997829626	0.949407827
					
Belarus	1999	17	Female	0.992590352	0.861965589
					
Belarus	1999	18	Female	0.983034693	0.706817569
Belarus	1999	19	Female	0.951180258	0.514135981
Belarus	1999	20	Female	0.919366197	0.393788131
Belarus	1999	21	Female	0.864640884	0.305614183
					
Belarus	1999	22	Female	0.770515614	0.196995708
Belarus	1999	23	Female	0.672605791	0.13147119
Belarus	1999	24	Female	0.586538462	0.104178592
Benin	1996	12	Female		0.447112867
Benin	1996	13	Female		0.404437724
Benin	1996	14	Female		0.441557019
Benin	1996	15	Female		0.37354097
Benin	1996	16	Female		0.332287776
Benin	1996	17	Female		0.283036404
Benin	1996	18	Female		0.160080352
Benin	1996	19	Female		0.173549984
Benin	1996	20	Female		0.096004535
Benin	1996	21	Female		0.096669876
Benin	1996	22	Female	0.695285446	0.06127201
Benin	1996	23	Female	0.242266859	0.055239774
Benin	1996	24	Female	0.639678214	0.060928962
Benin	2006	12	Female		0.677682065
Benin	2006	13	Female		0.656883027
Benin	2006	14	Female		0.653950394
Benin	2006	15	Female	0.996890119	0.577903848
Benin	2006	16	Female	0.979762307	0.601734047
Benin	2006	17	Female	0.975468082	0.513340732
Benin	2006	18	Female	0.971493201	0.409471371
Benin	2006	19	Female	0.924764703	0.442506151
Benin	2006	20	Female	0.92100273	0.249100555
Benin	2006	21	Female	0.922090723	0.319066953
Benin	2006	22	Female	0.902151597	0.209142205
Benin	2006	23	Female	0.729759095	0.176395943
Benin	2006	24	Female	0.8938658	0.148518351
Bolivia	1976	12	Female		0.751806419
Bolivia	1976	13	Female		0.689281413
Bolivia	1976	14	Female	0.999316005	0.582122238
Bolivia	1976	15	Female	0.997466216	0.454510557
Bolivia	1976	16	Female	0.995258416	0.393250047
Bolivia	1976	17	Female	0.989156627	0.343258892
Bolivia	1976	18	Female	0.964899178	0.245417889
Bolivia	1976	19	Female	0.945399393	0.236602871
Bolivia	1976	20	Female	0.921832884	0.141225733
Bolivia	1976	21	Female	0.891525424	0.161026201
Bolivia	1976	22	Female	0.806034483	0.105598543
Bolivia	1976	23	Female	0.793548387	0.078780178
Bolivia	1976	24	Female	0.734299517	0.054459353
Bolivia	1992	12	Female	0.99833661	0.861251545
Bolivia	1992	13	Female	0.99829932	0.808611184
Bolivia	1992	14	Female	0.997415464	0.72046567
Bolivia	1992	15	Female	0.993132205	0.662632375
Bolivia	1992	16	Female	0.984804208	0.596965318
Bolivia	1992	17	Female	0.968392737	0.548382173
Bolivia	1992	18	Female	0.927938808	0.452190365
Bolivia	1992	19	Female	0.861111111	0.425377015
Bolivia	1992	20	Female	0.845890411	0.287578689
Bolivia	1992	21	Female	0.793075684	0.289041619
Bolivia	1992	22	Female	0.723366159	0.220427553
Bolivia	1992	23	Female	0.658810325	0.201184527
Bolivia	1992	24	Female	0.581081081	0.173803036
Bolivia	1994	12	Female	0.460644442	0.880396129
Bolivia	1994	13	Female	0.49592748	0.841517382
Bolivia	1994	14	Female	0.704503935	0.768353377
Bolivia	1994	15	Female	0.983298573	0.697665931
Bolivia	1994	16	Female	0.979445134	0.636055946
Bolivia	1994	17	Female	0.961279138	0.564571001
Bolivia	1994	18	Female	0.96338306	0.479978343
Bolivia	1994	19	Female	0.89498244	0.381748496
Bolivia	1994	20	Female	0.889716712	0.295196561
Bolivia	1994	21	Female	0.867693457	0.288964012
Bolivia	1994	22	Female	0.778266044	0.231006966
Bolivia	1994	23	Female	0.708114923	0.18420909
Bolivia	1994	24	Female	0.747033553	0.14449599
Bolivia	1998	12	Female	0.672995487	0.924802783
Bolivia	1998	13	Female	0.293389242	0.895241064
Bolivia	1998	14	Female	0.488103943	0.840875683
Bolivia	1998	15	Female	0.985222029	0.803138891
Bolivia	1998	16	Female	0.987953901	0.774388889
Bolivia	1998	17	Female	0.975732178	0.665745343
Bolivia	1998	18	Female	0.939927045	0.567063967
Bolivia	1998	19	Female	0.911791567	0.511313165
Bolivia	1998	20	Female	0.897792551	0.389256008
Bolivia	1998	21	Female	0.815924488	0.352169818
Bolivia	1998	22	Female	0.819559847	0.300841819
Bolivia	1998	23	Female	0.740595309	0.316057773
Bolivia	1998	24	Female	0.622169745	0.199856272
Bolivia	2001	12	Female		0.90902906
Bolivia	2001	13	Female		0.872673267
Bolivia	2001	14	Female		0.813334682
Bolivia	2001	15	Female	0.992922374	0.761189224
Bolivia	2001	16	Female	0.980261593	0.692254969
Bolivia	2001	17	Female	0.951890034	0.571445582
Bolivia	2001	18	Female	0.874248729	0.340018442
Bolivia	2001	19	Female	0.760831889	0.19326591
Bolivia	2001	20	Female	0.580445545	0.119638568
Bolivia	2001	21	Female	0.402802102	0.085150955
Bolivia	2001	22	Female	0.317351598	0.067118304
Bolivia	2001	23	Female	0.243559719	0.06325263
Bolivia	2001	24	Female	0.179220779	0.063092784
Bolivia	2003	12	Female		0.597589169
Bolivia	2003	13	Female		0.557321661
Bolivia	2003	14	Female		0.530003527
Bolivia	2003	15	Female	0.994613473	0.530301995
Bolivia	2003	16	Female	0.998090871	0.534376003
Bolivia	2003	17	Female	0.954766252	0.490969164
Bolivia	2003	18	Female	0.934235227	0.412238059
Bolivia	2003	19	Female	0.907788199	0.3530507
Bolivia	2003	20	Female	0.843550722	0.305277345
Bolivia	2003	21	Female	0.767863176	0.265084957
Bolivia	2003	22	Female	0.82428279	0.254421892
Bolivia	2003	23	Female	0.776678302	0.204769754
Bolivia	2003	24	Female	0.770311914	0.166850906
Bolivia	2008	12	Female		0.964437012
Bolivia	2008	13	Female		0.940043165
Bolivia	2008	14	Female		0.886454163
Bolivia	2008	15	Female	0.987557905	0.858689406
Bolivia	2008	16	Female	0.985569051	0.815434406
Bolivia	2008	17	Female	0.962416767	0.716144688
Bolivia	2008	18	Female	0.935081137	0.59290358
Bolivia	2008	19	Female	0.907520077	0.479034278
Bolivia	2008	20	Female	0.880594435	0.409074608
Bolivia	2008	21	Female	0.828082563	0.374043699
Bolivia	2008	22	Female	0.818125928	0.319566924
Bolivia	2008	23	Female	0.681017632	0.273278531
Bolivia	2008	24	Female	0.779032174	0.200420818
Brazil	1960	12	Female		0.543885726
Brazil	1960	13	Female		0.471188998
Brazil	1960	14	Female		0.349573404
Brazil	1960	15	Female		0.25697534
Brazil	1960	16	Female	0.99904489	0.186144364
Brazil	1960	17	Female	0.997556641	0.145126982
Brazil	1960	18	Female	0.995788883	0.100780455
Brazil	1960	19	Female	0.991758242	0.080921857
Brazil	1960	20	Female	0.986956522	0.045423786
Brazil	1960	21	Female	0.97854954	0.042074532
Brazil	1960	22	Female	0.958587089	0.028100643
Brazil	1960	23	Female	0.92481203	0.019727589
Brazil	1960	24	Female	0.897959184	0.014535621
Brazil	1970	12	Female	0.987915408	0.708912336
Brazil	1970	13	Female	0.985169492	0.649169728
Brazil	1970	14	Female	0.987954186	0.552819072
Brazil	1970	15	Female	0.999576574	0.462753235
Brazil	1970	16	Female	0.998553345	0.396437113
Brazil	1970	17	Female	0.996338036	0.348097081
Brazil	1970	18	Female	0.992527862	0.287241185
Brazil	1970	19	Female	0.986411338	0.246112396
Brazil	1970	20	Female	0.976458495	0.188312809
Brazil	1970	21	Female	0.956529051	0.169466946
Brazil	1970	22	Female	0.9336763	0.126799701
Brazil	1970	23	Female	0.903586368	0.10149402
Brazil	1970	24	Female	0.855451128	0.084972034
Brazil	1980	12	Female		0.792621
Brazil	1980	13	Female		0.738079667
Brazil	1980	14	Female		0.672643272
Brazil	1980	15	Female	0.998001742	0.598131381
Brazil	1980	16	Female	0.994454713	0.531000593
Brazil	1980	17	Female	0.988567287	0.463478636
Brazil	1980	18	Female	0.97657856	0.387745579
Brazil	1980	19	Female	0.960827279	0.317005119
Brazil	1980	20	Female	0.939036141	0.255383135
Brazil	1980	21	Female	0.915977769	0.217028431
Brazil	1980	22	Female	0.883207764	0.166457783
Brazil	1980	23	Female	0.850604911	0.139346388
Brazil	1980	24	Female	0.794851369	0.113581345
Brazil	1991	12	Female	0.999847207	0.829478039
Brazil	1991	12	Female	0.999847207	0.702685412
Brazil	1991	13	Female		0.787731832
Brazil	1991	13	Female	0.999856715	0.787731832
Brazil	1991	13	Female		0.729610732
Brazil	1991	13	Female	0.999856715	0.729610732
Brazil	1991	14	Female	0.279621259	0.727814354
Brazil	1991	14	Female	0.999028824	0.727814354
Brazil	1991	14	Female	0.279621259	0.681516528
Brazil	1991	14	Female	0.999028824	0.681516528
Brazil	1991	15	Female	0.996926483	0.650450042
Brazil	1991	15	Female	0.997128878	0.650450042
Brazil	1991	15	Female	0.996926483	0.669423316
Brazil	1991	15	Female	0.997128878	0.669423316
Brazil	1991	16	Female	0.994752973	0.574029938
Brazil	1991	16	Female	0.992044632	0.574029938
Brazil	1991	16	Female	0.994752973	0.541506525
Brazil	1991	16	Female	0.992044632	0.541506525
Brazil	1991	17	Female	0.98943425	0.496049193
Brazil	1991	17	Female	0.983670968	0.496049193
Brazil	1991	17	Female	0.98943425	0.477026169
Brazil	1991	17	Female	0.983670968	0.477026169
Brazil	1991	18	Female	0.982527823	0.395111534
Brazil	1991	18	Female	0.967953567	0.395111534
Brazil	1991	18	Female	0.982527823	0.437699059
Brazil	1991	18	Female	0.967953567	0.437699059
Brazil	1991	19	Female	0.900328455	0.316773072
Brazil	1991	19	Female	0.950870021	0.316773072
Brazil	1991	19	Female	0.900328455	0.355683341
Brazil	1991	19	Female	0.950870021	0.355683341
Brazil	1991	20	Female	0.870060784	0.248564534
Brazil	1991	20	Female	0.925396433	0.248564534
Brazil	1991	20	Female	0.870060784	0.239127115
Brazil	1991	20	Female	0.925396433	0.239127115
Brazil	1991	21	Female	0.901075474	0.195742291
Brazil	1991	21	Female	0.866222262	0.195742291
Brazil	1991	21	Female	0.901075474	0.264537217
Brazil	1991	21	Female	0.866222262	0.264537217
Brazil	1991	22	Female	0.853613593	0.148403582
Brazil	1991	22	Female	0.90762796	0.148403582
Brazil	1991	22	Female	0.853613593	0.182134227
Brazil	1991	22	Female	0.90762796	0.182134227
Brazil	1991	23	Female	0.81597668	0.118188147
Brazil	1991	23	Female	0.791782571	0.118188147
Brazil	1991	23	Female	0.81597668	0.164934888
Brazil	1991	23	Female	0.791782571	0.164934888
Brazil	1991	24	Female	0.757770349	0.094975464
Brazil	1991	24	Female	0.589978262	0.094975464
Brazil	1991	24	Female	0.757770349	0.113764661
Brazil	1991	24	Female	0.589978262	0.113764661
Brazil	1996	12	Female		0.959447248
Brazil	1996	13	Female		0.929643197
Brazil	1996	14	Female		0.886704223
Brazil	1996	15	Female	0.992305066	0.80788857
Brazil	1996	16	Female	0.975290646	0.725890769
Brazil	1996	17	Female	0.949910379	0.634253507
Brazil	1996	18	Female	0.939539485	0.496009475
Brazil	1996	19	Female	0.899754621	0.410177382
Brazil	1996	20	Female	0.864069225	0.332316958
Brazil	1996	21	Female	0.7628676	0.279903194
Brazil	1996	22	Female	0.87659164	0.186909196
Brazil	1996	23	Female	0.722332111	0.147678062
Brazil	1996	24	Female	0.572231862	0.140470542
Brazil	2000	12	Female	0.999491478	0.960042827
Brazil	2000	13	Female	0.999347404	0.940825097
Brazil	2000	14	Female	0.997215631	0.905810361
Brazil	2000	15	Female	0.990438423	0.851977184
Brazil	2000	16	Female	0.977264632	0.78557433
Brazil	2000	17	Female	0.955029035	0.699691516
Brazil	2000	18	Female	0.923103861	0.543069063
Brazil	2000	19	Female	0.891622332	0.436149514
Brazil	2000	20	Female	0.851473467	0.350940866
Brazil	2000	21	Female	0.812335325	0.296105852
Brazil	2000	22	Female	0.768120744	0.251062785
Brazil	2000	23	Female	0.707148662	0.204881878
Brazil	2000	24	Female	0.654853459	0.171249225
Burkina Faso	1993	12	Female		0.294532083
Burkina Faso	1993	13	Female		0.248478881
Burkina Faso	1993	14	Female		0.22460693
Burkina Faso	1993	15	Female		0.169139305
Burkina Faso	1993	16	Female	0.987201172	0.15675152
Burkina Faso	1993	17	Female		0.143839586
Burkina Faso	1993	18	Female	0.946309241	0.128351756
Burkina Faso	1993	19	Female	0.891963605	0.123884921
Burkina Faso	1993	20	Female		0.088262098
Burkina Faso	1993	21	Female	0.899129391	0.060096016
Burkina Faso	1993	22	Female	0.589599999	0.054061485
Burkina Faso	1993	23	Female	0.932752927	0.047022984
Burkina Faso	1993	24	Female	0.632032856	0.036271194
Burkina Faso	1998	12	Female		0.236832446
Burkina Faso	1998	13	Female		0.2356077
Burkina Faso	1998	14	Female		0.218182949
Burkina Faso	1998	15	Female		0.140460399
Burkina Faso	1998	16	Female		0.133918358
Burkina Faso	1998	17	Female		0.106872418
Burkina Faso	1998	18	Female	0.970709958	0.104687658
Burkina Faso	1998	19	Female	0.807851049	0.066478252
Burkina Faso	1998	20	Female	0.829790237	0.077320394
Burkina Faso	1998	21	Female	0.809565166	0.054374063
Burkina Faso	1998	22	Female	0.708100275	0.044591178
Burkina Faso	1998	23	Female		0.038980936
Burkina Faso	1998	24	Female	0.626051704	0.034531617
Burkina Faso	2003	12	Female		0.30410092
Burkina Faso	2003	13	Female		0.308862641
Burkina Faso	2003	14	Female		0.261250611
Burkina Faso	2003	15	Female		0.199617179
Burkina Faso	2003	16	Female		0.210019316
Burkina Faso	2003	17	Female	0.98656754	0.136987385
Burkina Faso	2003	18	Female		0.141394289
Burkina Faso	2003	19	Female	0.973208111	0.109532311
Burkina Faso	2003	20	Female	0.922314307	0.074511711
Burkina Faso	2003	21	Female		0.10406698
Burkina Faso	2003	22	Female	0.973445052	0.065543223
Burkina Faso	2003	23	Female	0.954462564	0.059241772
Burkina Faso	2003	24	Female	0.893482936	0.053894951
CAR	1994	12	Female		0.603889522
CAR	1994	13	Female		0.549675525
CAR	1994	14	Female		0.636122149
CAR	1994	15	Female		0.44166935
CAR	1994	16	Female	0.956476955	0.38141654
CAR	1994	17	Female	0.884211485	0.311626723
CAR	1994	18	Female	0.808624059	0.246291277
CAR	1994	19	Female	0.825102157	0.21387339
CAR	1994	20	Female	0.645332937	0.158623948
CAR	1994	21	Female	0.555804592	0.138117121
CAR	1994	22	Female	0.480607229	0.111466797
CAR	1994	23	Female	0.5	0.08636428
CAR	1994	24	Female	0.153220499	0.075453299
Cambodia	1998	12	Female		0.746362118
Cambodia	1998	13	Female		0.709607266
Cambodia	1998	14	Female		0.644885415
Cambodia	1998	15	Female	0.992715618	0.487119438
Cambodia	1998	16	Female	0.991240876	0.370320314
Cambodia	1998	17	Female	0.98505471	0.260027759
Cambodia	1998	18	Female	0.976677431	0.186858867
Cambodia	1998	19	Female	0.946252839	0.138151014
Cambodia	1998	20	Female	0.857575758	0.071746929
Cambodia	1998	21	Female	0.783018868	0.062307127
Cambodia	1998	22	Female	0.749303621	0.049252298
Cambodia	1998	23	Female	0.637724551	0.042182369
Cambodia	1998	24	Female	0.586206897	0.040313408
Cambodia	2000	12	Female		0.854903653
Cambodia	2000	13	Female		0.788688044
Cambodia	2000	14	Female		0.679695433
Cambodia	2000	15	Female		0.567235819
Cambodia	2000	16	Female		0.422913299
Cambodia	2000	17	Female		0.26865803
Cambodia	2000	18	Female		0.209940276
Cambodia	2000	19	Female		0.139651015
Cambodia	2000	20	Female	0.956437866	0.086474664
Cambodia	2000	21	Female		0.066058087
Cambodia	2000	22	Female		0.031536335
Cambodia	2000	23	Female	0.358012144	0.021219211
Cambodia	2000	24	Female	0.749196531	0.011091681
Cameroon	1991	12	Female	0.369612076	0.728803599
Cameroon	1991	13	Female	0.322161291	0.795228074
Cameroon	1991	14	Female	0.399194987	0.735419258
Cameroon	1991	15	Female	0.415495537	0.49333754
Cameroon	1991	16	Female	0.45660516	0.502418755
Cameroon	1991	17	Female	0.474089221	0.385771759
Cameroon	1991	18	Female	0.373148336	0.253501129
Cameroon	1991	19	Female	0.375550553	0.272201938
Cameroon	1991	20	Female	0.35723056	0.184294339
Cameroon	1991	21	Female	0.350557217	0.201928428
Cameroon	1991	22	Female	0.32667458	0.170193653
Cameroon	1991	23	Female	0.288285411	0.122062191
Cameroon	1991	24	Female	0.348328729	0.076115939
Cameroon	1998	12	Female	0.441122072	0.803152641
Cameroon	1998	13	Female	0.38387379	0.737565087
Cameroon	1998	14	Female	0.471664194	0.764799141
Cameroon	1998	15	Female	0.482013853	0.558807869
Cameroon	1998	16	Female	0.481413871	0.527837566
Cameroon	1998	17	Female	0.485380007	0.384947835
Cameroon	1998	18	Female	0.560825849	0.240321662
Cameroon	1998	19	Female	0.506969139	0.234804136
Cameroon	1998	20	Female	0.518169007	0.102688244
Cameroon	1998	21	Female	0.394841285	0.157067337
Cameroon	1998	22	Female	0.505234702	0.111044656
Cameroon	1998	23	Female	0.532598151	0.097926955
Cameroon	1998	24	Female	0.453598053	0.085347932
Cameroon	2004	12	Female		0.852521094
Cameroon	2004	13	Female		0.837413753
Cameroon	2004	14	Female		0.853596034
Cameroon	2004	15	Female	0.995885533	0.751378728
Cameroon	2004	16	Female	0.976260508	0.674950238
Cameroon	2004	17	Female	0.959431401	0.599166377
Cameroon	2004	18	Female	0.931827447	0.482080876
Cameroon	2004	19	Female	0.859629248	0.431163796
Cameroon	2004	20	Female	0.932210647	0.276100621
Cameroon	2004	21	Female	0.904706672	0.298075024
Cameroon	2004	22	Female	0.870404726	0.195515067
Cameroon	2004	23	Female	0.804336702	0.17652247
Cameroon	2004	24	Female	0.875380813	0.135134391
Chad	1996	12	Female	0.3982322	0.324626358
Chad	1996	13	Female	0.341879367	0.298654138
Chad	1996	14	Female	0.386386033	0.36781928
Chad	1996	15	Female	0.493284412	0.206107848
Chad	1996	16	Female	0.378862394	0.190083254
Chad	1996	17	Female	0.345836895	0.134792634
Chad	1996	18	Female	0.371547595	0.097519263
Chad	1996	19	Female	0.297671468	0.104429148
Chad	1996	20	Female	0.283005394	0.060923142
Chad	1996	21	Female	0.35564502	0.061257536
Chad	1996	22	Female	0.264351242	0.063911744
Chad	1996	23	Female	0.271213426	0.03478553
Chad	1996	24	Female	0.385718339	0.020327032
Chad	2004	12	Female		0.484058834
Chad	2004	13	Female		0.451876959
Chad	2004	14	Female		0.522689573
Chad	2004	15	Female		0.37999343
Chad	2004	16	Female	0.93922297	0.330277922
Chad	2004	17	Female	0.91729403	0.326642375
Chad	2004	18	Female	0.792698569	0.267007174
Chad	2004	19	Female	0.795784722	0.330909602
