"country"	"YEAR"	"AGE"	"SEX"	"prop_childless_att"	"prop_childless"
"Austria"	"2001"	"20"	"Female"	"0.9859783301"	"0.9154694982"
"Austria"	"2001"	"21"	"Female"	"0.9724770642"	"0.8660854013"
"Austria"	"2001"	"22"	"Female"	"0.9664179104"	"0.8191420565"
"Austria"	"2001"	"23"	"Female"	"0.9541899441"	"0.7757496741"
"Austria"	"2001"	"24"	"Female"	"0.9423592493"	"0.7194029851"
"Burkina Faso"	"1998"	"15"	"Female"	"1"	"0.9752181729"
"Burkina Faso"	"1998"	"16"	"Female"	"1"	"0.9429240641"
"Burkina Faso"	"1998"	"17"	"Female"	"1"	"0.8650500126"
"Burkina Faso"	"1998"	"18"	"Female"	"0.9707099578"	"0.6347454932"
"Burkina Faso"	"1998"	"19"	"Female"	"0.8078510492"	"0.4577352538"
"Burkina Faso"	"1998"	"20"	"Female"	"0.8297902369"	"0.2728682144"
"Burkina Faso"	"1998"	"21"	"Female"	"0.8095651659"	"0.1776520588"
"Burkina Faso"	"1998"	"22"	"Female"	"0.7081002749"	"0.1206224075"
"Burkina Faso"	"1998"	"23"	"Female"	"1"	"0.0783891909"
"Burkina Faso"	"1998"	"24"	"Female"	"0.6260517041"	"0.0880093072"
"Benin"	"2006"	"15"	"Female"	"0.9968901186"	"0.9640997873"
"Benin"	"2006"	"16"	"Female"	"0.979762307"	"0.9459574201"
"Benin"	"2006"	"17"	"Female"	"0.9754680821"	"0.8400116411"
"Benin"	"2006"	"18"	"Female"	"0.9714932006"	"0.7126021028"
"Benin"	"2006"	"19"	"Female"	"0.9247647025"	"0.6304593647"
"Benin"	"2006"	"20"	"Female"	"0.9210027297"	"0.3847496292"
"Benin"	"2006"	"21"	"Female"	"0.9220907232"	"0.4800760622"
"Benin"	"2006"	"22"	"Female"	"0.9021515972"	"0.2947996095"
"Benin"	"2006"	"23"	"Female"	"0.7297590953"	"0.2470190004"
"Benin"	"2006"	"24"	"Female"	"0.8938658005"	"0.206288432"
"Bolivia"	"2001"	"15"	"Female"	"0.9929223744"	"0.9646587744"
"Bolivia"	"2001"	"16"	"Female"	"0.9802615933"	"0.9195723684"
"Bolivia"	"2001"	"17"	"Female"	"0.9518900344"	"0.8362068966"
"Bolivia"	"2001"	"18"	"Female"	"0.8742487286"	"0.7282349434"
"Bolivia"	"2001"	"19"	"Female"	"0.7608318891"	"0.6345739772"
"Bolivia"	"2001"	"20"	"Female"	"0.5804455446"	"0.5252998759"
"Bolivia"	"2001"	"21"	"Female"	"0.4028021016"	"0.4630105684"
"Bolivia"	"2001"	"22"	"Female"	"0.3173515982"	"0.3920503289"
"Bolivia"	"2001"	"23"	"Female"	"0.243559719"	"0.3379907783"
"Bolivia"	"2001"	"24"	"Female"	"0.1792207792"	"0.2861262902"
"Brazil"	"2000"	"12"	"Female"	"0.9994914782"	"0.9978432681"
"Brazil"	"2000"	"13"	"Female"	"0.9993474042"	"0.9965680852"
"Brazil"	"2000"	"14"	"Female"	"0.997215631"	"0.9890370039"
"Brazil"	"2000"	"15"	"Female"	"0.9904384229"	"0.966607961"
"Brazil"	"2000"	"16"	"Female"	"0.9772646319"	"0.9234981396"
"Brazil"	"2000"	"17"	"Female"	"0.9550290346"	"0.861698227"
"Brazil"	"2000"	"18"	"Female"	"0.923103861"	"0.7912416845"
"Brazil"	"2000"	"19"	"Female"	"0.8916223319"	"0.718697389"
"Brazil"	"2000"	"20"	"Female"	"0.8514734665"	"0.6426500882"
"Brazil"	"2000"	"21"	"Female"	"0.8123353251"	"0.5775450929"
"Brazil"	"2000"	"22"	"Female"	"0.7681207443"	"0.5187337885"
"Brazil"	"2000"	"23"	"Female"	"0.7071486621"	"0.461845092"
"Brazil"	"2000"	"24"	"Female"	"0.6548534588"	"0.4163009174"
"Belarus"	"1999"	"12"	"Female"	"1"	"."
"Belarus"	"1999"	"14"	"Female"	"1"	"."
"Belarus"	"1999"	"15"	"Female"	"0.9992616293"	"0.9981921176"
"Belarus"	"1999"	"16"	"Female"	"0.9978296256"	"0.994075982"
"Belarus"	"1999"	"17"	"Female"	"0.9925903523"	"0.982012513"
"Belarus"	"1999"	"18"	"Female"	"0.9830346931"	"0.9466379194"
"Belarus"	"1999"	"19"	"Female"	"0.9511802575"	"0.8786206897"
"Belarus"	"1999"	"20"	"Female"	"0.9193661972"	"0.792926491"
"Belarus"	"1999"	"21"	"Female"	"0.864640884"	"0.6710285634"
"Belarus"	"1999"	"22"	"Female"	"0.7705156137"	"0.5599599313"
"Belarus"	"1999"	"23"	"Female"	"0.6726057906"	"0.458095656"
"Belarus"	"1999"	"24"	"Female"	"0.5865384615"	"0.371743487"
"Congo (Brazzaville)"	"2005"	"15"	"Female"	"0.9814954726"	"0.9638628837"
"Congo (Brazzaville)"	"2005"	"16"	"Female"	"0.9535084985"	"0.8933519764"
"Congo (Brazzaville)"	"2005"	"17"	"Female"	"0.9289962547"	"0.8374914712"
"Congo (Brazzaville)"	"2005"	"18"	"Female"	"0.8860943682"	"0.6495785774"
"Congo (Brazzaville)"	"2005"	"19"	"Female"	"0.7531209059"	"0.5502216144"
"Congo (Brazzaville)"	"2005"	"20"	"Female"	"0.7700189939"	"0.3934616732"
"Congo (Brazzaville)"	"2005"	"21"	"Female"	"0.6435428107"	"0.3332328376"
"Congo (Brazzaville)"	"2005"	"22"	"Female"	"0.6158761147"	"0.2842752167"
"Congo (Brazzaville)"	"2005"	"23"	"Female"	"0.6331751994"	"0.2000137778"
"Congo (Brazzaville)"	"2005"	"24"	"Female"	"0.3651950984"	"0.1894091595"
"Switzerland"	"2000"	"12"	"Female"	"0.9986101459"	"0.9986101459"
"Switzerland"	"2000"	"13"	"Female"	"1"	"."
"Switzerland"	"2000"	"14"	"Female"	"0.9944029851"	"0.9944029851"
"Switzerland"	"2000"	"15"	"Female"	"0.9958448753"	"0.9930643127"
"Switzerland"	"2000"	"16"	"Female"	"0.996807152"	"0.9958920188"
"Switzerland"	"2000"	"17"	"Female"	"0.9967553537"	"0.9929824561"
"Switzerland"	"2000"	"18"	"Female"	"0.9947506562"	"0.9902912621"
"Switzerland"	"2000"	"19"	"Female"	"0.9938271605"	"0.9824561404"
"Switzerland"	"2000"	"20"	"Female"	"0.9966960352"	"0.9592689295"
"Switzerland"	"2000"	"21"	"Female"	"0.9931972789"	"0.94"
"Switzerland"	"2000"	"22"	"Female"	"0.9819672131"	"0.901371308"
"Switzerland"	"2000"	"23"	"Female"	"0.9817850638"	"0.8783783784"
"Switzerland"	"2000"	"24"	"Female"	"0.9762931034"	"0.8391679351"
"Cote Ivoire"	"1998"	"15"	"Female"	"0.9829130653"	"0.9571712834"
"Cote Ivoire"	"1998"	"16"	"Female"	"1"	"0.782130781"
"Cote Ivoire"	"1998"	"17"	"Female"	"0.9682595467"	"0.7420659525"
"Cote Ivoire"	"1998"	"18"	"Female"	"1"	"0.703625322"
"Cote Ivoire"	"1998"	"19"	"Female"	"0.9637607214"	"0.5500430548"
"Cote Ivoire"	"1998"	"20"	"Female"	"0.9012177333"	"0.3981648975"
"Cote Ivoire"	"1998"	"21"	"Female"	"0.8434960286"	"0.3521569126"
"Cote Ivoire"	"1998"	"22"	"Female"	"0.8476123127"	"0.2317275241"
"Cote Ivoire"	"1998"	"23"	"Female"	"0.5834361642"	"0.2103528608"
"Cote Ivoire"	"1998"	"24"	"Female"	"0.8737969024"	"0.2151010469"
"Cameroon"	"2004"	"15"	"Female"	"0.9958855334"	"0.9688911331"
"Cameroon"	"2004"	"16"	"Female"	"0.9762605078"	"0.8974298706"
"Cameroon"	"2004"	"17"	"Female"	"0.9594314007"	"0.7996066763"
"Cameroon"	"2004"	"18"	"Female"	"0.9318274467"	"0.6547484878"
"Cameroon"	"2004"	"19"	"Female"	"0.8596292481"	"0.5352637846"
"Cameroon"	"2004"	"20"	"Female"	"0.9322106472"	"0.3763164189"
"Cameroon"	"2004"	"21"	"Female"	"0.9047066718"	"0.3702809132"
"Cameroon"	"2004"	"22"	"Female"	"0.8704047259"	"0.2818832667"
"Cameroon"	"2004"	"23"	"Female"	"0.8043367017"	"0.2209674788"
"Cameroon"	"2004"	"24"	"Female"	"0.8753808128"	"0.2322625063"
"Colombia"	"2005"	"12"	"Female"	"0.9998522164"	"0.9995695349"
"Colombia"	"2005"	"13"	"Female"	"0.9995680389"	"0.9985569621"
"Colombia"	"2005"	"14"	"Female"	"0.9987282864"	"0.9923704882"
"Colombia"	"2005"	"15"	"Female"	"0.9929688039"	"0.9690056545"
"Colombia"	"2005"	"16"	"Female"	"0.9820109491"	"0.9235467118"
"Colombia"	"2005"	"17"	"Female"	"0.9566605344"	"0.8545531294"
"Colombia"	"2005"	"18"	"Female"	"0.936478146"	"0.7773640949"
"Colombia"	"2005"	"19"	"Female"	"0.9095265474"	"0.7015353699"
"Colombia"	"2005"	"20"	"Female"	"0.8647064384"	"0.6141578489"
"Colombia"	"2005"	"21"	"Female"	"0.8320766408"	"0.5635542232"
"Colombia"	"2005"	"22"	"Female"	"0.7989031054"	"0.491933291"
"Colombia"	"2005"	"23"	"Female"	"0.7503924926"	"0.4555751654"
"Colombia"	"2005"	"24"	"Female"	"0.687021659"	"0.399071052"
"Costa Rica"	"2000"	"12"	"Female"	"1"	"0.9996236357"
"Costa Rica"	"2000"	"13"	"Female"	"0.9996009577"	"0.9986463621"
"Costa Rica"	"2000"	"14"	"Female"	"0.9974821653"	"0.9919172325"
"Costa Rica"	"2000"	"15"	"Female"	"0.9913606911"	"0.9674335226"
"Costa Rica"	"2000"	"16"	"Female"	"0.9773340529"	"0.9141021305"
"Costa Rica"	"2000"	"17"	"Female"	"0.9641825534"	"0.8601735776"
"Costa Rica"	"2000"	"18"	"Female"	"0.9351245085"	"0.765"
"Costa Rica"	"2000"	"19"	"Female"	"0.8933038999"	"0.6712543009"
"Costa Rica"	"2000"	"20"	"Female"	"0.8520032706"	"0.6055214724"
"Costa Rica"	"2000"	"21"	"Female"	"0.7828139754"	"0.5269723533"
"Costa Rica"	"2000"	"22"	"Female"	"0.7417289221"	"0.4376748523"
"Costa Rica"	"2000"	"23"	"Female"	"0.6780735108"	"0.3804831532"
"Costa Rica"	"2000"	"24"	"Female"	"0.6473354232"	"0.3408382404"
"Dominican Republic"	"2002"	"15"	"Female"	"0.9800624725"	"0.9634058607"
"Dominican Republic"	"2002"	"16"	"Female"	"0.9613331084"	"0.9103063206"
"Dominican Republic"	"2002"	"17"	"Female"	"0.9005228262"	"0.8021080072"
"Dominican Republic"	"2002"	"18"	"Female"	"0.8738091656"	"0.7392391712"
"Dominican Republic"	"2002"	"19"	"Female"	"0.804653556"	"0.6174189474"
"Dominican Republic"	"2002"	"20"	"Female"	"0.7391693242"	"0.5250299524"
"Dominican Republic"	"2002"	"21"	"Female"	"0.6901555741"	"0.4546027996"
"Dominican Republic"	"2002"	"22"	"Female"	"0.633835701"	"0.3967298227"
"Dominican Republic"	"2002"	"23"	"Female"	"0.6527607994"	"0.3409153975"
"Dominican Republic"	"2002"	"24"	"Female"	"0.4464036712"	"0.239604821"
"Ecuador"	"2001"	"12"	"Female"	"0.9986837487"	"0.9942096556"
"Ecuador"	"2001"	"13"	"Female"	"0.997877677"	"0.9925447698"
"Ecuador"	"2001"	"14"	"Female"	"0.9961534352"	"0.9842798798"
"Ecuador"	"2001"	"15"	"Female"	"0.9928066325"	"0.9659721664"
"Ecuador"	"2001"	"16"	"Female"	"0.981187612"	"0.9186190846"
"Ecuador"	"2001"	"17"	"Female"	"0.9664963942"	"0.8456174491"
"Ecuador"	"2001"	"18"	"Female"	"0.9352296752"	"0.75008364"
"Ecuador"	"2001"	"19"	"Female"	"0.9037224265"	"0.6604271026"
"Ecuador"	"2001"	"20"	"Female"	"0.8574815595"	"0.5587430561"
"Ecuador"	"2001"	"21"	"Female"	"0.8035013583"	"0.4848671476"
"Ecuador"	"2001"	"22"	"Female"	"0.7589316684"	"0.4255319149"
"Ecuador"	"2001"	"23"	"Female"	"0.6805497709"	"0.3574668528"
"Ecuador"	"2001"	"24"	"Female"	"0.5951115834"	"0.3143133462"
"Spain"	"2001"	"12"	"Female"	"1"	"."
"Spain"	"2001"	"13"	"Female"	"1"	"."
"Spain"	"2001"	"14"	"Female"	"0.999906332"	"0.9999079105"
"Spain"	"2001"	"15"	"Female"	"0.9998050682"	"0.9997174343"
"Spain"	"2001"	"16"	"Female"	"0.9991054567"	"0.9974760661"
"Spain"	"2001"	"17"	"Female"	"0.998078479"	"0.9924631439"
"Spain"	"2001"	"18"	"Female"	"0.9959606987"	"0.983015873"
"Spain"	"2001"	"19"	"Female"	"0.9944770452"	"0.9747880073"
"Spain"	"2001"	"20"	"Female"	"0.9940212842"	"0.9623058287"
"Spain"	"2001"	"21"	"Female"	"0.990472561"	"0.9499330656"
"Spain"	"2001"	"22"	"Female"	"0.9906280599"	"0.9387518516"
"Spain"	"2001"	"23"	"Female"	"0.9861656972"	"0.9219188102"
"Spain"	"2001"	"24"	"Female"	"0.9844809133"	"0.9088490867"
"Ethiopia"	"2000"	"15"	"Female"	"1"	"0.9934928821"
"Ethiopia"	"2000"	"16"	"Female"	"1"	"0.9648160397"
"Ethiopia"	"2000"	"17"	"Female"	"0.9998978842"	"0.8821600113"
"Ethiopia"	"2000"	"18"	"Female"	"0.9820457439"	"0.7756187833"
"Ethiopia"	"2000"	"19"	"Female"	"0.9569513629"	"0.6430034946"
"Ethiopia"	"2000"	"20"	"Female"	"0.9222948356"	"0.4796679598"
"Ethiopia"	"2000"	"21"	"Female"	"0.9923412192"	"0.4283874258"
"Ethiopia"	"2000"	"22"	"Female"	"0.9731779274"	"0.3990102987"
"Ethiopia"	"2000"	"23"	"Female"	"0.9151506073"	"0.2873078863"
"Ethiopia"	"2000"	"24"	"Female"	"0.8097542036"	"0.2541264998"
"France"	"1999"	"12"	"Female"	"1"	"."
"France"	"1999"	"13"	"Female"	"1"	"."
"France"	"1999"	"14"	"Female"	"0.9998386403"	"0.9997857755"
"France"	"1999"	"15"	"Female"	"0.9991889261"	"0.9990320499"
"France"	"1999"	"16"	"Female"	"0.9987471942"	"0.9971938776"
"France"	"1999"	"17"	"Female"	"0.9975699947"	"0.9945490335"
"France"	"1999"	"18"	"Female"	"0.9958044305"	"0.9871955184"
"France"	"1999"	"19"	"Female"	"0.9951623592"	"0.971540208"
"France"	"1999"	"20"	"Female"	"0.9928741093"	"0.9517449849"
"France"	"1999"	"21"	"Female"	"0.9914512922"	"0.9214809226"
"France"	"1999"	"22"	"Female"	"0.9835263835"	"0.8877374784"
"France"	"1999"	"23"	"Female"	"0.9723141215"	"0.8415029983"
"France"	"1999"	"24"	"Female"	"0.9617819461"	"0.7880390561"
"Gabon"	"2000"	"15"	"Female"	"0.9672515378"	"0.938833532"
"Gabon"	"2000"	"16"	"Female"	"0.8846979714"	"0.8466928628"
"Gabon"	"2000"	"17"	"Female"	"0.7838277769"	"0.6768162758"
"Gabon"	"2000"	"18"	"Female"	"0.7624710246"	"0.6274821392"
"Gabon"	"2000"	"19"	"Female"	"0.6964749149"	"0.5317847554"
"Gabon"	"2000"	"20"	"Female"	"0.4793101216"	"0.3552464859"
"Gabon"	"2000"	"21"	"Female"	"0.4321648278"	"0.2732327675"
"Gabon"	"2000"	"22"	"Female"	"0.4605546053"	"0.2929238457"
"Gabon"	"2000"	"23"	"Female"	"0.4421699151"	"0.275490649"
"Gabon"	"2000"	"24"	"Female"	"0.361745097"	"0.1798975468"
"Ghana"	"2000"	"12"	"Female"	"0.9931100024"	"0.9910981697"
"Ghana"	"2000"	"13"	"Female"	"0.9907487091"	"0.9896781732"
"Ghana"	"2000"	"14"	"Female"	"0.9901623985"	"0.9872961024"
"Ghana"	"2000"	"15"	"Female"	"0.9003537736"	"0.8907646029"
"Ghana"	"2000"	"16"	"Female"	"0.8988918085"	"0.8794870359"
"Ghana"	"2000"	"17"	"Female"	"0.8922007722"	"0.8427466749"
"Ghana"	"2000"	"18"	"Female"	"0.8705902899"	"0.7776024482"
"Ghana"	"2000"	"19"	"Female"	"0.8362175525"	"0.7185543153"
"Ghana"	"2000"	"20"	"Female"	"0.8044613194"	"0.5185140659"
"Ghana"	"2000"	"21"	"Female"	"0.8016806723"	"0.5235761909"
"Ghana"	"2000"	"22"	"Female"	"0.7714016933"	"0.4275164273"
"Ghana"	"2000"	"23"	"Female"	"0.7432605905"	"0.4080674734"
"Ghana"	"2000"	"24"	"Female"	"0.726744186"	"0.3533687448"
"Guinea"	"1999"	"15"	"Female"	"1"	"0.9425437838"
"Guinea"	"1999"	"16"	"Female"	"1"	"0.8144033988"
"Guinea"	"1999"	"17"	"Female"	"0.9061364755"	"0.7050344336"
"Guinea"	"1999"	"18"	"Female"	"0.9290807839"	"0.4696834725"
"Guinea"	"1999"	"19"	"Female"	"0.8095176693"	"0.4390550575"
"Guinea"	"1999"	"20"	"Female"	"0.853254492"	"0.3051718117"
"Guinea"	"1999"	"21"	"Female"	"0.6365720885"	"0.2651682573"
"Guinea"	"1999"	"22"	"Female"	"0.6898855862"	"0.1938945758"
"Guinea"	"1999"	"23"	"Female"	"0.6"	"0.1288227208"
"Guinea"	"1999"	"24"	"Female"	"1"	"0.155602447"
"Guatemala"	"1998"	"15"	"Female"	"1"	"0.9653777419"
"Guatemala"	"1998"	"16"	"Female"	"0.9927458191"	"0.9519506952"
"Guatemala"	"1998"	"17"	"Female"	"0.9094384356"	"0.8021064992"
"Guatemala"	"1998"	"18"	"Female"	"0.9694364867"	"0.7458405749"
"Guatemala"	"1998"	"19"	"Female"	"0.9394267535"	"0.5857119411"
"Guatemala"	"1998"	"20"	"Female"	"0.8244388748"	"0.4373682879"
"Guatemala"	"1998"	"21"	"Female"	"0.9733387276"	"0.4333229735"
"Guatemala"	"1998"	"22"	"Female"	"0.4558428402"	"0.2559789399"
"Guatemala"	"1998"	"23"	"Female"	"0.5401778034"	"0.238587325"
"Guatemala"	"1998"	"24"	"Female"	"0.9133941017"	"0.2469184055"
"Honduras"	"2005"	"15"	"Female"	"0.9981146351"	"0.976021147"
"Honduras"	"2005"	"16"	"Female"	"0.974035044"	"0.915278461"
"Honduras"	"2005"	"17"	"Female"	"0.9600632095"	"0.8219940747"
"Honduras"	"2005"	"18"	"Female"	"0.9161266854"	"0.7148421734"
"Honduras"	"2005"	"19"	"Female"	"0.9049127373"	"0.627742136"
"Honduras"	"2005"	"20"	"Female"	"0.8593437506"	"0.5105450434"
"Honduras"	"2005"	"21"	"Female"	"0.7509733149"	"0.4185635196"
"Honduras"	"2005"	"22"	"Female"	"0.6815750438"	"0.3621328782"
"Honduras"	"2005"	"23"	"Female"	"0.6482280926"	"0.3133849436"
"Honduras"	"2005"	"24"	"Female"	"0.4446996538"	"0.2407492822"
"Haiti"	"2000"	"15"	"Female"	"1"	"0.9900649269"
"Haiti"	"2000"	"16"	"Female"	"1"	"0.9549480264"
"Haiti"	"2000"	"17"	"Female"	"0.9925602112"	"0.8411792372"
"Haiti"	"2000"	"18"	"Female"	"0.9771010055"	"0.8290421631"
"Haiti"	"2000"	"19"	"Female"	"0.9519059587"	"0.7466709933"
"Haiti"	"2000"	"20"	"Female"	"0.9381152041"	"0.638308127"
"Haiti"	"2000"	"21"	"Female"	"0.9232259498"	"0.6363318898"
"Haiti"	"2000"	"22"	"Female"	"0.9619721305"	"0.4531778625"
"Haiti"	"2000"	"23"	"Female"	"0.8513204223"	"0.4442368392"
"Haiti"	"2000"	"24"	"Female"	"0.9212570871"	"0.341922463"
"Hungary"	"2001"	"13"	"Female"	"."	"."
"Hungary"	"2001"	"14"	"Female"	"."	"."
"Hungary"	"2001"	"15"	"Female"	"0.9993564994"	"0.9954407295"
"Hungary"	"2001"	"16"	"Female"	"0.9993093923"	"0.988001263"
"Hungary"	"2001"	"17"	"Female"	"0.9981053429"	"0.9728347715"
"Hungary"	"2001"	"18"	"Female"	"0.9982638889"	"0.9547387606"
"Hungary"	"2001"	"19"	"Female"	"0.9994538504"	"0.9276031151"
"Hungary"	"2001"	"20"	"Female"	"0.997833935"	"0.8820512821"
"Hungary"	"2001"	"21"	"Female"	"0.9936536718"	"0.8436363636"
"Hungary"	"2001"	"22"	"Female"	"0.9947984395"	"0.8017925736"
"Hungary"	"2001"	"23"	"Female"	"0.9904580153"	"0.7357947734"
"Hungary"	"2001"	"24"	"Female"	"0.9719298246"	"0.6679052485"
"India"	"2004"	"12"	"Female"	"1"	"."
"India"	"2004"	"13"	"Female"	"1"	"."
"India"	"2004"	"14"	"Female"	"1"	"0.9996131683"
"India"	"2004"	"15"	"Female"	"0.9993423734"	"0.9987473629"
"India"	"2004"	"16"	"Female"	"0.9985617761"	"0.9918315935"
"India"	"2004"	"17"	"Female"	"0.9988299938"	"0.9777585797"
"India"	"2004"	"18"	"Female"	"0.9929438457"	"0.8999204897"
"India"	"2004"	"19"	"Female"	"0.994038968"	"0.7768996298"
"India"	"2004"	"20"	"Female"	"0.9749152049"	"0.6153772112"
"India"	"2004"	"21"	"Female"	"0.9779829135"	"0.5627517007"
"India"	"2004"	"22"	"Female"	"0.9155212747"	"0.41005413"
"India"	"2004"	"23"	"Female"	"0.8795601468"	"0.3319984532"
"India"	"2004"	"24"	"Female"	"0.762213574"	"0.2598726005"
"Italy"	"2001"	"12"	"Female"	"1"	"."
"Italy"	"2001"	"17"	"Female"	"0.9973321626"	"0.9896419098"
"Italy"	"2001"	"22"	"Female"	"0.985301198"	"0.9178023076"
"Jamaica"	"2001"	"12"	"Female"	"1"	"0.9088938007"
"Jamaica"	"2001"	"13"	"Female"	"1"	"."
"Jamaica"	"2001"	"14"	"Female"	"0.9991100624"	"0.988701964"
"Jamaica"	"2001"	"15"	"Female"	"0.9919804784"	"0.9670695295"
"Jamaica"	"2001"	"16"	"Female"	"0.9827039604"	"0.9412379497"
"Jamaica"	"2001"	"17"	"Female"	"0.958773621"	"0.8589487916"
"Jamaica"	"2001"	"18"	"Female"	"0.953470414"	"0.7650500222"
"Jamaica"	"2001"	"19"	"Female"	"0.8806856731"	"0.6388950165"
"Jamaica"	"2001"	"20"	"Female"	"0.8461327921"	"0.5727549366"
"Jamaica"	"2001"	"21"	"Female"	"0.804019874"	"0.4907371881"
"Jamaica"	"2001"	"22"	"Female"	"0.6978257899"	"0.4090493117"
"Jamaica"	"2001"	"23"	"Female"	"0.6730626209"	"0.3724905258"
"Jamaica"	"2001"	"24"	"Female"	"0.6048971766"	"0.3371101152"
"Jordan"	"2004"	"12"	"Female"	"1"	"."
"Jordan"	"2004"	"13"	"Female"	"1"	"."
"Jordan"	"2004"	"14"	"Female"	"1"	"."
"Jordan"	"2004"	"15"	"Female"	"0.9994042891"	"0.9974756581"
"Jordan"	"2004"	"16"	"Female"	"0.9995685005"	"0.9929759704"
"Jordan"	"2004"	"17"	"Female"	"0.9973595775"	"0.9777656278"
"Jordan"	"2004"	"18"	"Female"	"0.9979818365"	"0.9494134897"
"Jordan"	"2004"	"19"	"Female"	"0.9957578095"	"0.9095655417"
"Jordan"	"2004"	"20"	"Female"	"0.9926233287"	"0.8577517315"
"Jordan"	"2004"	"21"	"Female"	"0.9824671259"	"0.796185706"
"Jordan"	"2004"	"22"	"Female"	"0.9591549296"	"0.7364000764"
"Jordan"	"2004"	"23"	"Female"	"0.9734748011"	"0.6738691438"
"Jordan"	"2004"	"24"	"Female"	"0.9151785714"	"0.6003671971"
"Kenya"	"1999"	"12"	"Female"	"0.9534317792"	"0.9537368201"
"Kenya"	"1999"	"13"	"Female"	"0.9515476116"	"0.9515536427"
"Kenya"	"1999"	"14"	"Female"	"0.9450838996"	"0.9429617711"
"Kenya"	"1999"	"15"	"Female"	"0.9421427"	"0.9291600634"
"Kenya"	"1999"	"16"	"Female"	"0.9303666336"	"0.8904038957"
"Kenya"	"1999"	"17"	"Female"	"0.9073493556"	"0.8216907267"
"Kenya"	"1999"	"18"	"Female"	"0.8690932312"	"0.6918207283"
"Kenya"	"1999"	"19"	"Female"	"0.8341194969"	"0.6020804438"
"Kenya"	"1999"	"20"	"Female"	"0.7670623145"	"0.4343694718"
"Kenya"	"1999"	"21"	"Female"	"0.7375328084"	"0.379650446"
"Kenya"	"1999"	"22"	"Female"	"0.6710775047"	"0.3048117439"
"Kenya"	"1999"	"23"	"Female"	"0.671388102"	"0.2627791935"
"Kenya"	"1999"	"24"	"Female"	"0.5237113402"	"0.204813771"
"Kyrgyz Republic"	"1999"	"14"	"Female"	"."	"."
"Kyrgyz Republic"	"1999"	"15"	"Female"	"0.9979575163"	"0.996935453"
"Kyrgyz Republic"	"1999"	"16"	"Female"	"0.9997588618"	"0.9967393519"
"Kyrgyz Republic"	"1999"	"17"	"Female"	"0.9974160207"	"0.9842617519"
"Kyrgyz Republic"	"1999"	"18"	"Female"	"0.9897907095"	"0.9319613608"
"Kyrgyz Republic"	"1999"	"19"	"Female"	"0.9546525324"	"0.8167098446"
"Kyrgyz Republic"	"1999"	"20"	"Female"	"0.9210526316"	"0.6930781215"
"Kyrgyz Republic"	"1999"	"21"	"Female"	"0.8498871332"	"0.5490513651"
"Kyrgyz Republic"	"1999"	"22"	"Female"	"0.8003696858"	"0.4338852892"
"Kyrgyz Republic"	"1999"	"23"	"Female"	"0.7302798982"	"0.355739645"
"Kyrgyz Republic"	"1999"	"24"	"Female"	"0.6784565916"	"0.2897243108"
"Cambodia"	"1998"	"15"	"Female"	"0.9927156177"	"0.9877936271"
"Cambodia"	"1998"	"16"	"Female"	"0.9912408759"	"0.9807406406"
"Cambodia"	"1998"	"17"	"Female"	"0.9850547104"	"0.954406662"
"Cambodia"	"1998"	"18"	"Female"	"0.9766774309"	"0.9064699966"
"Cambodia"	"1998"	"19"	"Female"	"0.9462528388"	"0.8250366032"
